shift_age_bucket,adjusted_next_shot_probability,adjusted_per_100_events,odds_ratio_vs_00_29,or_ci_low,or_ci_high,p_value
00-29,0.1587768167158043,15.87768167158043,1.0,,,
30-44,0.17254796143576895,17.254796143576893,1.112326660263474,1.0724205475879738,1.153717729407266,1.1247907280050739e-08
45-59,0.18801758931602866,18.801758931602865,1.2449024192268612,1.1960653856561063,1.2957335376332728,7.497388451453951e-27
60+,0.20180129337844768,20.180129337844768,1.3691463629447178,1.3211039762217442,1.4189358270844443,1.3380468022696252e-66
