game_id,status,shift_rows,error
2024021230,covered,741,
2024021231,covered,742,
2024021232,covered,714,
2024021233,covered,675,
2024021234,covered,771,
2024021235,missing,0,
2024021236,missing,0,
2024021237,missing,0,
2024021238,missing,0,
2024021239,missing,0,
2024021240,missing,0,
2024021241,missing,0,
2024021242,missing,0,
2024021243,missing,0,
2024021244,missing,0,
2024021245,missing,0,
2024021246,missing,0,
2024021247,missing,0,
2024021248,missing,0,
2024021249,missing,0,
2024021250,missing,0,
2024021251,missing,0,
2024021252,missing,0,
2024021253,missing,0,
2024021254,missing,0,
2024021255,missing,0,
2024021256,missing,0,
2024021257,missing,0,
2024021258,missing,0,
2024021259,missing,0,
2024021260,missing,0,
2024021261,missing,0,
2024021262,missing,0,
2024021263,missing,0,
2024021264,missing,0,
2024021265,missing,0,
2024021266,missing,0,
2024021267,missing,0,
2024021268,missing,0,
2024021269,missing,0,
2024021270,missing,0,
2024021271,missing,0,
2024021272,missing,0,
2024021273,missing,0,
2024021274,missing,0,
2024021275,missing,0,
2024021276,missing,0,
2024021277,missing,0,
2024021278,missing,0,
2024021279,missing,0,
2024021280,missing,0,
2024021281,missing,0,
2024021282,missing,0,
2024021283,missing,0,
2024021284,missing,0,
2024021285,missing,0,
2024021286,missing,0,
2024021287,missing,0,
2024021288,missing,0,
2024021289,missing,0,
2024021290,missing,0,
2024021291,missing,0,
2024021292,covered,826,
2024021293,covered,749,
2024021294,covered,743,
2024021295,covered,725,
2024021296,covered,741,
2024021297,covered,822,
2024021298,covered,755,
2024021299,covered,806,
2024021300,covered,717,
2024021301,covered,728,
2024021302,covered,723,
2024021303,covered,775,
2024021304,covered,762,
2024021305,covered,697,
2024021306,covered,697,
2024021307,covered,761,
2024021308,covered,797,
2024021309,covered,781,
2024021310,covered,726,
2024021311,covered,764,
2024021312,covered,693,
