shift_age_bucket,adjusted_next_shot_probability,adjusted_per_100_events,odds_ratio_vs_00_29,or_ci_low,or_ci_high,p_value
00-29,0.2464965536755881,24.649655367558807,1.0,,,
30-44,0.2637243748953608,26.372437489536082,1.1001606665221262,1.037480519734026,1.1666276803661833,0.0014259137775583877
45-59,0.27476222426185953,27.476222426185952,1.167255607823755,1.094807354176277,1.2444980834286823,2.2391670085316464e-06
60+,0.2958447460499842,29.584474604998416,1.3022289094465984,1.230165872303048,1.378513394639777,9.739507884061416e-20
